id,country,Region,continent,,1990,1995,2000,2005,2010,2015,2020,2024
190,Honduras,Central,America,Latin,America,and,the,Caribbean,270423,149442,28461,27934
191,Mexico,Central,America,Latin,America,and,the,Caribbean,701513,458051,526172,701803
192,Nicaragua,Central,America,Latin,America,and,the,Caribbean,41421,26619,30389,34919
193,Panama,Central,America,Latin,America,and,the,Caribbean,62744,70848,83410,109461
194,Argentina,South,America,Latin,America,and,the,Caribbean,1647935,1589660,1543851,1641560
195,Bolivia,(Plurinational,State,of),South,America,Latin,America,and,the,Caribbean,73758
196,Brazil,South,America,Latin,America,and,the,Caribbean,803218,732622,687362,641029
197,Chile,South,America,Latin,America,and,the,Caribbean,100133,125754,166608,241522
198,Colombia,South,America,Latin,America,and,the,Caribbean,100672,109550,109863,110495
199,Ecuador,South,America,Latin,America,and,the,Caribbean,139204,145626,150585,144415
200,Falkland,Islands,(Malvinas),South,America,Latin,America,and,the,Caribbean,855,868
201,French,Guiana,South,America,Latin,America,and,the,Caribbean,63612,70131,76649
202,Guyana,South,America,Latin,America,and,the,Caribbean,4095,6352,8610,10868
203,Paraguay,South,America,Latin,America,and,the,Caribbean,195884,186570,176608,168243
204,Peru,South,America,Latin,America,and,the,Caribbean,48985,56831,66103,77195
205,Suriname,South,America,Latin,America,and,the,Caribbean,18083,22320,27506,33662
206,Uruguay,South,America,Latin,America,and,the,Caribbean,98116,93428,88874,82317
207,Venezuela,(Bolivarian,Republic,of),South,America,Latin,America,and,the,Caribbean,1025009
208,Bermuda,NORTHERN,AMERICA,Latin,America,and,the,Caribbean,15683,16676,17684,18108
209,Canada,NORTHERN,AMERICA,Latin,America,and,the,Caribbean,4251056,4853738,5525404,6086976
210,Greenland,NORTHERN,AMERICA,Latin,America,and,the,Caribbean,9282,7121,6601,6556
211,Saint,Pierre,and,Miquelon,NORTHERN,AMERICA,Latin,America,and,the,Caribbean,1099
212,United,States,of,America,NORTHERN,AMERICA,Latin,America,and,the,Caribbean,23266147
213,Australia,Australia/New,Zealand,OCEANIA,3991501,4215646,4389847,4880921,5879802,6733056,7604850,8111404
214,New,Zealand,Australia/New,Zealand,OCEANIA,526369,594911,685966,855017,956982,1132201,1343900
215,Fiji,Melanesia,OCEANIA,13283,13001,12719,12434,13357,13751,14087,14362,
